customer_id,first_name,last_name,email,phone,signup_date,location
CUST1000,Danielle,Carney,davenportbrandi@jordan.com,+1-955-271-7744x9058,2022-09-08,West Jennifer
CUST1001,Angel,Santos,nolanjason@gmail.com,477-005-4119,2024-04-10,Brianberg
CUST1002,Joshua,Kim,kimberly69@moore.com,+1-867-980-7935x978,2024-06-23,Port Daniel
CUST1003,Jeffrey,Holmes,whitesandra@yahoo.com,(071)518-2037,2024-12-01,Susanstad
CUST1004,Jill,Martinez,erik16@garrison.com,889.255.4665x905,2024-11-22,Willismouth
CUST1005,Erica,Walker,kevin33@gmail.com,518-644-9251,2023-08-14,Marcusburgh
CUST1006,Patricia,Morgan,emurphy@bell-hicks.net,001-254-629-1486,2022-12-16,Connerfort
CUST1007,Christopher,Chapman,wilsontara@gmail.com,+1-528-168-5054x2357,2024-07-08,Grantside
CUST1008,Robert,Hall,rodriguezryan@hotmail.com,322.141.8880,2022-12-27,Jeffreyshire
CUST1009,Anthony,Robinson,gobrien@gmail.com,+1-592-962-2292x70653,2023-02-24,South Kurt
CUST1010,Jeffery,Jones,jonathanfletcher@gmail.com,947.383.4735x977,2023-01-26,Davidtown
CUST1011,William,Welch,ryan59@alvarado-martinez.com,001-468-862-3924x07581,2022-08-09,Rosalesshire
CUST1012,Anthony,Perez,snguyen@yahoo.com,001-814-124-7826x137,2022-10-25,East Carriebury
CUST1013,James,Whitehead,robertbentley@adkins.biz,(060)685-3615x305,2023-07-02,South Donaldland
CUST1014,Debra,Heath,justin69@pena.com,522-047-2779,2023-02-10,West Toni
CUST1015,Amy,Jones,donnacampbell@hotmail.com,1043289861,2023-05-25,Lake Nicole
CUST1016,Jeffrey,Young,cardenaskaren@hotmail.com,001-434-103-6971x17980,2024-04-04,Port Jennamouth
CUST1017,Bridget,Caldwell,lindsayhernandez@gmail.com,+1-893-246-0953x9621,2024-02-20,Smithborough
CUST1018,Lisa,Lewis,xcarr@gibson.org,518.888.8067x06540,2025-06-22,Lake Carlos
CUST1019,Adam,Anderson,psnyder@douglas.com,(153)195-2058x527,2025-03-27,Kristintown
CUST1020,Linda,Walls,gregoryrubio@hotmail.com,001-722-170-4303x054,2025-04-18,South Samuelchester
CUST1021,Helen,Duncan,grantsamantha@gmail.com,687.403.4505x41566,2022-11-29,South Trevor
CUST1022,Matthew,Kennedy,lauriecontreras@hotmail.com,001-765-277-5841x6169,2025-01-11,Bellfurt
CUST1023,Eric,Mueller,usalazar@hotmail.com,(845)115-4479,2025-01-17,Port Timothyshire
CUST1024,Susan,Aguirre,vmerritt@yahoo.com,001-627-570-5964x016,2023-08-28,East Shannon
CUST1025,Matthew,Lee,karen48@yahoo.com,(820)297-0213x556,2022-11-15,West Andrewview
CUST1026,Christopher,Davis,scott43@rogers-orozco.com,001-092-755-7192,2022-08-24,North Matthewfurt
CUST1027,Colin,Jordan,jessebenson@lewis.info,565.431.0278x68144,2022-10-30,Lake Charles
CUST1028,Melanie,Henderson,clarkrobert@hotmail.com,001-739-473-1217x271,2023-05-25,West Brookefort
CUST1029,Cassandra,Owens,wwoods@molina-castaneda.biz,+1-551-884-4225x83132,2025-04-20,South Sherriburgh
CUST1030,Lindsay,Daniel,brobinson@johnson-rogers.biz,705.895.7829,2024-06-09,Mooreville
CUST1031,Jessica,Nunez,ncalhoun@johnson.com,146-786-6912,2023-02-07,Jamieborough
CUST1032,Amanda,Joyce,dtaylor@williams.com,177-852-8922x68018,2022-12-11,Terryside
CUST1033,Teresa,Garcia,wmurphy@ramirez-bean.biz,(422)535-8414,2023-12-19,Donnaport
CUST1034,Nicholas,Powell,ruizkaitlyn@gmail.com,842.498.1829,2023-01-28,North Brandon
CUST1035,Andrea,Morgan,debraharrington@hotmail.com,001-229-959-0010,2022-09-26,Hernandezstad
CUST1036,Maria,Hensley,herringjames@howell.com,+1-943-969-0784x4736,2024-07-07,South Christopherfort
CUST1037,Christine,Wright,elliottjeffery@hotmail.com,710-276-7735x9255,2022-10-08,North Anthony
CUST1038,Michelle,Lee,gary91@gmail.com,001-562-588-1537x1473,2023-04-08,Lake Kelly
CUST1039,Barbara,West,lanesarah@hotmail.com,(104)696-3259,2024-12-29,South Meganport
CUST1040,Janet,Henderson,mdavid@gmail.com,001-532-787-7470x1687,2024-05-24,Ruizview
CUST1041,Brandon,Ramirez,terrykevin@burke.com,395.004.7974,2024-03-26,Lake Amyburgh
CUST1042,Jeremy,Wright,estanley@hotmail.com,+1-016-245-6506,2024-08-30,Nicolestad
CUST1043,Keith,Leblanc,atkinsonlynn@gmail.com,9835841687,2022-09-05,South Bradley
